track_id,label
55183,0
120184,6
85816,7
36277,5
56552,7
138041,6
11505,2
3721,7
14809,2
38363,2
80680,5
85957,6
108415,0
61884,3
86486,4
61175,3
256,7
144180,3
146727,3
50264,3
126747,2
116451,2
126188,4
52037,6
55715,7
119118,1
105714,2
87153,7
75752,3
141593,5
73486,7
118196,1
123975,3
110204,1
110448,5
148443,0
131446,6
106342,2
71241,3
64834,6
122080,7
134825,3
97692,3
126104,6
108906,4
122809,6
130927,4
128812,4
123979,3
114936,5
56469,5
109497,7
127469,1
133975,4
43866,3
92124,6
76075,5
123832,7
98624,3
73768,5
45519,2
123273,7
138213,3
126220,4
24742,5
60041,5
33426,5
123834,7
43698,5
4079,5
71513,0
12045,2
143299,4
107388,7
145067,7
134447,0
14745,7
108838,3
140935,1
69747,6
90592,6
25216,5
29602,3
67235,3
11242,1
27455,1
26639,7
106955,7
107434,0
125312,5
100550,0
62452,6
124752,0
118060,4
43623,2
127648,4
11264,7
80002,2
54034,6
126718,4
111397,6
150080,5
51999,5
137152,0
6856,2
3776,5
63472,7
123502,0
129042,4
97393,0
148611,6
145752,0
140626,3
36096,0
97374,1
49477,6
126426,6
56248,6
129882,5
86487,4
22348,6
142670,3
72067,0
126886,4
49848,2
83789,7
132788,6
111225,4
127271,6
6372,5
16995,7
96936,7
44777,2
6407,2
129622,1
4511,5
63149,1
36990,3
116878,0
114389,0
77523,1
46720,1
98346,5
125827,4
120504,4
147021,3
68549,1
139534,4
85831,0
53592,6
21774,1
148288,6
90530,4
130992,4
124184,7
90589,6
123981,3
7383,1
131925,4
98025,7
98299,5
125723,6
43598,5
48368,7
132779,6
113167,2
134509,3
23041,7
62532,5
1736,1
68853,2
132791,6
3598,2
108526,0
108341,0
56651,7
109971,6
43765,5
75869,2
105119,7
98339,5
98578,3
140794,2
145747,3
115592,1
71719,7
73819,1
131922,4
26652,0
78852,3
110546,7
95231,7
44918,7
114061,0
127189,6
58060,1
43521,5
79741,6
50543,7
1642,6
42025,5
144809,1
22093,7
27805,6
132117,3
120330,4
80402,4
3533,6
22474,6
140791,2
144733,0
93727,0
122654,4
108992,7
56275,6
98237,4
33486,1
112780,1
126519,1
119894,4
142361,3
84156,2
127661,4
124517,1
109896,2
135044,2
121813,7
33071,5
99707,0
33459,7
212,2
10684,2
42245,5
67556,7
9721,1
142519,2
43599,5
46839,6
32689,3
32339,6
98584,3
54874,0
108464,0
10535,1
128758,0
112790,1
116456,2
122646,4
104724,1
73767,5
107617,0
126491,2
22478,6
63770,3
94467,3
62003,4
13749,3
135364,7
88864,2
718,2
91306,3
10444,2
111392,6
141894,7
26605,1
138015,2
134951,5
91897,1
143055,0
30095,1
125999,0
111872,4
57272,1
49064,1
23010,0
67365,6
107913,0
89192,3
84405,1
85425,6
111911,7
128992,1
56523,0
122261,1
63291,4
57938,1
48465,0
118478,1
91869,7
148289,6
123467,4
83715,3
110647,4
68843,2
129969,7
84417,1
125286,0
62445,7
118670,2
69798,1
125551,7
14663,6
92551,0
126403,6
48864,1
15488,5
65090,1
110384,2
55807,0
69822,3
121322,3
123490,2
8416,1
114222,4
68682,0
55290,6
43767,5
132420,0
92546,0
368,7
98583,3
81802,4
121651,4
96695,2
10810,6
121736,6
81485,4
132914,7
11862,3
13561,3
26465,2
54297,2
49817,7
110084,3
123342,1
105824,3
79990,2
76129,6
80695,5
114404,7
29042,0
80754,5
120296,4
93920,4
6394,5
108428,6
90625,2
31042,0
7375,1
126015,4
141561,3
60534,5
714,2
40909,1
57177,2
59659,5
128825,1
97586,2
98667,5
125621,4
35182,6
141375,3
111873,4
111747,7
130931,4
47198,1
63290,4
135338,6
25234,5
145708,6
70772,3
13747,3
133020,0
40123,1
12188,6
127188,6
38829,5
52948,2
24842,5
137424,7
132781,6
69904,3
28480,6
19417,6
60478,3
127908,6
13562,0
133560,4
64604,1
67638,0
141304,3
143099,7
56895,6
38352,5
126430,6
111938,3
123974,3
66534,7
24369,5
124971,1
75930,3
85424,6
127275,6
148585,6
47068,0
116517,1
68837,2
129092,7
24368,5
51991,5
149141,4
136331,4
120160,1
120302,4
108059,1
88858,2
68909,7
55237,5
127301,6
96726,2
127277,6
70208,3
67793,3
24702,5
117667,5
133833,7
2096,1
86482,4
52645,0
127303,6
72071,0
47197,1
56874,0
85346,0
113335,0
69793,1
128470,4
126102,6
4097,5
42911,6
134384,6
56497,3
17735,7
145705,6
85420,6
44781,1
10386,2
142528,2
255,7
144172,3
41568,6
1891,7
114392,0
148218,2
88856,2
142534,5
134454,4
120332,4
66536,7
52034,6
111819,0
108313,1
134610,3
85839,0
27406,0
88860,2
47202,1
1682,5
54470,5
91179,5
44779,1
114539,4
59695,5
61007,2
12527,6
90587,6
43843,2
68899,0
29720,3
38817,5
121288,1
95915,3
114063,0
40236,2
56649,7
117666,5
14581,4
42044,7
11204,3
64863,1
6381,5
108425,6
74374,1
36985,3
14738,7
91087,0
65619,7
5006,7
92561,0
111221,4
115812,0
107129,0
114879,5
55232,5
58164,6
147267,3
91797,2
126216,4
108497,3
110266,3
140874,2
126646,4
9559,7
107952,5
51272,6
64861,1
69001,1
134931,5
64590,5
56517,2
111188,2
75221,7
130758,2
7378,1
26013,3
47070,0
58174,6
72605,2
108957,7
87161,0
140871,2
131453,6
140924,0
73363,0
148028,3
64862,1
68862,2
129089,7
93076,2
60317,1
127159,0
11508,2
28479,6
137214,7
128882,1
126900,0
12147,6
148441,0
80755,5
118886,2
57627,1
99311,0
109903,2
17573,1
62188,5
54149,4
82250,1
145727,3
138066,6
133967,4
149687,3
124391,7
27803,1
130934,4
141295,4
41961,7
85419,6
130954,2
1510,1
107804,0
107588,2
70403,7
91102,2
45941,1
121449,0
47194,1
87101,4
148286,6
13706,0
109480,2
43026,5
116759,4
126242,4
134940,5
133971,4
1083,1
132041,2
119727,1
98077,7
129874,5
89857,3
72135,3
122579,6
